time_s,u_i_V,u_C_V,u_o_V
0.001500657280000081,-3.0,2.6191341991513566,-5.619134199151357
0.001501312640000163,-3.0,2.2625627530217036,-5.262562753021704
0.001502623360000326,-3.0,1.6152128503513223,-4.615212850351322
0.001505244800000651,-3.0,0.5455635630867111,-3.545563563086711
0.001510487680001302,-3.0,-0.927244952438687,-2.072755047561313
0.001517430906843975,-3.0,-1.995536332623512,-1.004463667376488
0.0015253238492223,-3.0,-2.564008008782654,-0.4359919912173462
0.001535887318850211,-3.0,-2.865386629490345,-0.1346133705096546
0.001549421249314304,-3.0,-2.97404362089505,-0.02595637910495019
0.001569224660076139,-3.0,-2.9998718013311034,-0.000128198668896351
0.001598561046778815,-3.0,-3.000024260235307,2.42602353071053e-05
0.001653984052837351,-3.0,-2.9999886059902954,-1.139400970484594e-05
0.001713984052837351,-3.0,-3.0000056970048568,5.697004856641819e-06
0.001773984052837351,-3.0,-2.9999971514975696,-2.8485024302638e-06
0.001833984052837351,-3.0,-3.000001424251216,1.424251215964567e-06
0.001893984052837351,-3.0,-2.9999992878743913,-7.121256087039285e-07
0.001953984052837351,-3.0,-3.0000003560628046,3.560628046850312e-07
0.002,-3.0,-2.9999998596807056,-1.403192942950326e-07
0.0020000001,-2.399999999795396,-2.9999938597421,0.5999938599467041
0.0020000003,-1.19999999938619,-2.999969860104872,1.799969860718682
0.0020000007,1.200000001432224,-2.999849863710244,4.199849865142468
0.002000001,2.99999999944395,-2.9996968705092333,5.999696869953183
0.00200000108,3.0,-2.9996488733182023,5.999648873318202
0.00200000124,3.0,-2.9995528797040887,5.999552879704089
0.00200000156,3.0,-2.9993608970834833,5.999360897083483
0.0020000022,3.0,-2.9989769502720183,5.998976950272018
0.00200000348,3.0,-2.998209130362162,5.998209130362162
0.00200000604,3.0,-2.996673785347559,5.996673785347559
0.002000011159999999,3.0,-2.993604274161539,5.993604274161539
0.002000021399999998,3.0,-2.9874699641459577,5.987469964145958
0.002000041879999996,3.0,-2.9752201694380496,5.97522016943805
0.002000082839999993,3.0,-2.9507956889379354,5.950795688937935
0.002000164759999985,3.0,-2.902245631644778,5.902245631644778
0.00200032859999997,3.0,-2.806328988271396,5.806328988271396
0.002000656279999939,3.0,-2.6191341992374024,5.619134199237402
0.002001311639999879,3.0,-2.262562753177157,5.262562753177157
0.002002622359999757,3.0,-1.6152128506193906,4.615212850619391
0.002005243799999514,3.0,-0.5455635634977161,3.545563563497716
0.002010486679999028,3.0,0.927244951945378,2.072755048054622
0.002017429906841711,3.0,1.9955363323856,1.0044636676144
0.002025322849218834,3.0,2.5640080086172974,0.4359919913827026
0.00203588631884646,3.0,2.8653866294339876,0.1346133705660122
0.002049420249308353,3.0,2.974043620873643,0.02595637912635684
0.002069223660068645,3.0,2.999871801329986,0.0001281986700136795
0.002098560046764764,3.0,3.0000242602355045,-2.426023550450296e-05
0.002153983052812423,3.0,2.999988605990205,1.139400979532912e-05
0.002213983052812423,3.0,3.000005697004902,-5.69700490204994e-06
0.002273983052812424,3.0,2.9999971514975465,2.848502453356438e-06
0.002333983052812424,3.0,3.0000014242512276,-1.424251227510887e-06
0.002393983052812424,3.0,2.9999992878743855,7.121256142550436e-07
0.002453983052812424,3.0,3.0000003560628072,-3.560628072385441e-07
0.002500001,3.0,2.9999998596741686,1.403258313992239e-07
0.0025000011,2.400000000445918,2.999993859735568,-0.5999938592896501
0.0025000013,1.200000000036711,2.9999698600983438,-1.799969860061633
0.0025000017,-1.200000000781703,2.9998498637036928,-4.199849864485396
0.002500002,-3.0,2.999696870502463,-5.999696870502463
0.00250000208,-3.0,2.999648873311412,-5.999648873311412
0.002500002240000001,-3.0,2.9995528796972586,-5.999552879697259
0.002500002560000001,-3.0,2.9993608970765724,-5.999360897076572
0.002500003200000001,-3.0,2.998976950264942,-5.998976950264942
0.002500004480000001,-3.0,2.998209130354754,-5.998209130354754
0.002500007040000002,-3.0,2.9966737853394854,-5.996673785339485
0.002500012160000004,-3.0,2.993604274152135,-5.993604274152135
0.002500022400000007,-3.0,2.9874699641339078,-5.987469964133908
0.002500042880000014,-3.0,2.975220169420721,-5.975220169420721
0.002500083840000028,-3.0,2.9507956889101052,-5.950795688910105
0.002500165760000056,-3.0,2.9022456315962053,-5.902245631596205
0.002500329600000112,-3.0,2.8063289881823543,-5.806328988182354
0.002500657280000224,-3.0,2.6191341990713592,-5.619134199071359
0.002501312640000447,-3.0,2.2625627528719194,-5.262562752871919
0.002502623360000894,-3.0,1.6152128500882226,-4.615212850088223
0.002505244800001788,-3.0,0.545563562679523,-3.545563562679523
0.002510487680003576,-3.0,-0.927244952929763,-2.072755047070237
0.002517430906846239,-3.0,-1.995536332860349,-1.004463667139651
0.00252532384922576,-3.0,-2.564008008947208,-0.4359919910527918
0.002535887318853952,-3.0,-2.865386629546393,-0.134613370453607
0.002549421249320237,-3.0,-2.9740436209163517,-0.02595637908364856
0.002569224660083607,-3.0,-2.9998718013322145,-0.0001281986677854619
0.002598561046792808,-3.0,-3.0000242602351106,2.426023511081787e-05
0.002653984052862159,-3.0,-2.999988605990385,-1.139400961480685e-05
0.002713984052862159,-3.0,-3.0000056970048115,5.697004811566764e-06
0.002773984052862159,-3.0,-2.999997151497592,-2.848502408170361e-06
0.002833984052862159,-3.0,-3.000001424251205,1.424251205084381e-06
0.00289398405286216,-3.0,-2.999999287874397,-7.121256031528134e-07
0.00295398405286216,-3.0,-3.0000003560628015,3.56062801687429e-07
0.003,-3.0,-2.999999859680707,-1.403192932958319e-07
