time_s,u_i_V,u_R_V,u_o_V_u_C
0.0005745975247881198,-3.0,-1.180274773632487,-1.819725226367513
0.0006078047559235058,-3.0,-0.5640573439335248,-2.435942656066475
0.0006566333489533247,-3.0,-0.17839051596069488,-2.821609484039305
0.0007134318983693745,-3.0,-0.044008309572269866,-2.95599169042773
0.0007734318983693745,-3.0,-0.00971614346248284,-2.990283856537517
0.0008334318983693746,-3.0,-0.0021451459130359396,-2.997854854086964
0.0008934318983693746,-3.0,-0.00047362700955710935,-2.999526372990443
0.0009534318983693747,-3.0,-0.00010459037648002933,-2.99989540962352
0.001,-3.0,-3.531181022520258e-05,-2.999964688189775
0.0010000001,-2.399999999795396,0.5999634118764181,-2.999963411671814
0.0010000003,-1.19999999938619,1.799958306069075,-2.999958305455265
0.0010000007,1.200000000131181,4.199932774134789,-2.999932774003608
0.001000001,2.99999999944395,5.999900220788885,-2.999900221344935
0.00100000108,3.0,5.999890008766146,-2.999890008766146
0.00100000124,3.0,5.999869583643334,-2.999869583643334
0.00100000156,3.0,5.999828733606309,-2.999828733606309
0.0010000022,3.0,5.999747034366639,-2.999747034366638
0.00100000348,3.0,5.999583639224748,-2.999583639224748
0.00100000604,3.0,5.999256862290337,-2.999256862290337
0.001000011159999999,3.0,5.9986033618153485,-2.998603361815349
0.001000021399999998,3.0,5.99729657441163,-2.99729657441163
0.001000041879999996,3.0,5.994683853556639,-2.994683853556639
0.001000082839999992,3.0,5.989461825796726,-2.989461825796725
0.001000164759999985,3.0,5.979031411214017,-2.979031411214017
0.00100032859999997,3.0,5.958225027124615,-2.958225027124615
0.001000656279999939,3.0,5.916829093580326,-2.916829093580325
0.001001311639999878,3.0,5.834897058600812,-2.834897058600812
0.001002622359999757,3.0,5.6744131947068865,-2.674413194706886
0.001005243799999514,3.0,5.366507748672058,-2.366507748672058
0.001010486679999028,3.0,4.79949566171736,-1.79949566171736
0.001020972439998056,3.0,3.836180473814265,-0.836180473814265
0.001041943959996113,3.0,2.4366941392381447,0.5633058607618554
0.001074596524783545,3.0,1.180275637281919,1.819724362718081
0.001107803735889652,3.0,0.564058031326717,2.435941968673283
0.001156632318442077,3.0,0.17839078782114193,2.821609212178858
0.00121343083997773,3.0,0.044008417757523954,2.955991582242476
0.00127343083997773,3.0,0.009716167347538995,2.990283832652461
0.00133343083997773,3.0,0.0021451511863599393,2.99785484881364
0.00139343083997773,3.0,0.0004736281737978132,2.999526371826202
0.00145343083997773,3.0,0.000104590633518864,2.999895409366481
0.001500001,3.0,3.53098492209547e-05,2.999964690150779
0.0015000011,2.400000000445918,-0.599963413186896,2.999963413632814
0.0015000013,1.200000000036711,-1.799958307379548,2.999958307416259
0.0015000017,-1.200000000781703,-4.199932776746281,2.999932775964578
0.001500002,-3.0,-5.99990022330589,2.999900223305889
0.00150000208,-3.0,-5.9998900107270945,2.999890010727094
0.00150000224,-3.0,-5.999869585604272,2.999869585604272
0.00150000256,-3.0,-5.999828735567224,2.999828735567224
0.0015000032,-3.0,-5.999747036327507,2.999747036327508
0.00150000448,-3.0,-5.99958364118553,2.99958364118553
0.001500007040000001,-3.0,-5.999256864250942,2.999256864250942
0.001500012160000001,-3.0,-5.998603363775598,2.998603363775598
0.001500022400000003,-3.0,-5.997296576371169,2.997296576371169
0.001500042880000005,-3.0,-5.994683855514757,2.994683855514757
0.00150008384000001,-3.0,-5.989461827752005,2.989461827752005
0.00150016576000002,-3.0,-5.979031413163632,2.979031413163632
0.001500329600000041,-3.0,-5.95822502906294,2.95822502906294
0.001500657280000081,-3.0,-5.916829095496238,2.916829095496238
0.001501312640000163,-3.0,-5.834897060472553,2.834897060472553
0.001502623360000326,-3.0,-5.674413196492824,2.674413196492824
0.001505244800000651,-3.0,-5.366507750296133,2.366507750296133
0.001510487680001302,-3.0,-4.799495663053384,1.799495663053384
0.001520973440002604,-3.0,-3.836180474694211,0.8361804746942112
0.001541944960005208,-3.0,-2.4366941395489645,-0.5633058604510355
0.001574597524792633,-3.0,-1.180275637432666,-1.819724362567334
0.001607804735894656,-3.0,-0.5640580314547678,-2.435941968545232
0.001656633318443301,-3.0,-0.17839078788129115,-2.821609212118709
0.00171343183997463,-3.0,-0.044008417778738096,-2.955991582221262
0.00177343183997463,-3.0,-0.009716167352221916,-2.990283832647778
0.00183343183997463,-3.0,-0.002145151187393779,-2.997854848812606
0.00189343183997463,-3.0,-0.00047362817402607504,-2.999526371825974
0.00195343183997463,-3.0,-0.00010459063356993425,-2.99989540936643
0.002,-3.0,-3.531183888094702e-05,-2.999964688161119
0.0020000001,-2.399999999795396,0.599963411847761,-2.999963411643157
0.0020000003,-1.19999999938619,1.7999583060404187,-2.999958305426609
0.0020000007,1.200000001432224,4.199932775407169,-2.999932773974945
0.002000001,2.99999999944395,5.999900220760242,-2.999900221316292
0.00200000108,3.0,5.999890008737503,-2.999890008737503
0.00200000124,3.0,5.999869583614691,-2.999869583614691
0.00200000156,3.0,5.999828733577665,-2.999828733577665
0.0020000022,3.0,5.999747034337995,-2.999747034337995
0.00200000348,3.0,5.999583639196107,-2.999583639196107
0.00200000604,3.0,5.999256862261696,-2.999256862261696
0.002000011159999999,3.0,5.998603361786712,-2.998603361786712
0.002000021399999998,3.0,5.997296574383,-2.997296574383
0.002000041879999996,3.0,5.994683853528024,-2.994683853528023
0.002000082839999993,3.0,5.989461825768135,-2.989461825768135
0.002000164759999985,3.0,5.979031411185478,-2.979031411185478
0.00200032859999997,3.0,5.958225027096174,-2.958225027096174
0.002000656279999939,3.0,5.91682909355208,-2.91682909355208
0.002001311639999879,3.0,5.83489705857296,-2.834897058572959
0.002002622359999757,3.0,5.674413194679798,-2.674413194679798
0.002005243799999514,3.0,5.366507748646441,-2.366507748646441
0.002010486679999028,3.0,4.799495661694451,-1.799495661694451
0.002020972439998056,3.0,3.8361804737959537,-0.8361804737959536
0.002041943959996113,3.0,2.436694139226513,0.5633058607734868
0.002074596524783547,3.0,1.180275637276238,1.819724362723762
0.002107803735889784,3.0,0.564058031322217,2.435941968677783
0.002156632318442279,3.0,0.17839078781935713,2.821609212180643
0.002213430839978114,3.0,0.04400841775681519,2.955991582243185
0.002273430839978114,3.0,0.009716167347381788,2.990283832652618
0.002333430839978114,3.0,0.0021451511863248562,2.997854848813675
0.002393430839978114,3.0,0.0004736281737898196,2.99952637182621
0.002453430839978114,3.0,0.00010459063351797582,2.999895409366482
0.002500001,3.0,3.53098492209547e-05,2.999964690150779
0.0025000011,2.400000000445918,-0.599963413186896,2.999963413632814
0.0025000013,1.200000000036711,-1.7999583073795458,2.999958307416257
0.0025000017,-1.200000000781703,-4.199932776746274,2.999932775964571
0.002500002,-3.0,-5.999900223305858,2.999900223305858
0.00250000208,-3.0,-5.9998900107270625,2.999890010727062
0.002500002240000001,-3.0,-5.999869585604235,2.999869585604235
0.002500002560000001,-3.0,-5.999828735567178,2.999828735567178
0.002500003200000001,-3.0,-5.999747036327443,2.999747036327444
0.002500004480000001,-3.0,-5.999583641185431,2.999583641185431
0.002500007040000002,-3.0,-5.999256864250772,2.999256864250772
0.002500012160000004,-3.0,-5.9986033637752865,2.998603363775287
0.002500022400000007,-3.0,-5.997296576370575,2.997296576370575
0.002500042880000014,-3.0,-5.994683855513598,2.994683855513598
0.002500083840000028,-3.0,-5.989461827749717,2.989461827749717
0.002500165760000056,-3.0,-5.97903141315909,2.97903141315909
0.002500329600000112,-3.0,-5.958225029053912,2.958225029053912
0.002500657280000224,-3.0,-5.916829095478326,2.916829095478326
0.002501312640000447,-3.0,-5.834897060437245,2.834897060437245
0.002502623360000894,-3.0,-5.674413196424167,2.674413196424167
0.002505244800001788,-3.0,-5.366507750166246,2.366507750166246
0.002510487680003576,-3.0,-4.799495662820765,1.799495662820765
0.002520973440007152,-3.0,-3.8361804743203582,0.8361804743203582
0.002541944960014303,-3.0,-2.4366941390633863,-0.5633058609366136
0.002574597524801721,-3.0,-1.180275637197686,-1.819724362802314
0.002607804735908605,-3.0,-0.564058031275799,-2.435941968724201
0.002656633318458149,-3.0,-0.17839078782001794,-2.821609212179982
0.002713431839997608,-3.0,-0.04400841775163311,-2.955991582248367
0.002773431839997609,-3.0,-0.009716167346237814,-2.990283832653762
0.002833431839997609,-3.0,-0.0021451511860730577,-2.997854848813927
0.002893431839997609,-3.0,-0.00047362817373386434,-2.999526371826266
0.002953431839997609,-3.0,-0.00010459063350598541,-2.999895409366494
0.003,-3.0,-3.531183888316747e-05,-2.999964688161117
