time_s,u_i_V,u_R_V,u_L_V
0.0005000121600000002,-3.0,2.998635845992057,-5.998635845992057
0.0005000224000000004,-3.0,2.9974074511596367,-5.997407451159637
0.0005000428800000007,-3.0,2.994951416066046,-5.994951416066046
0.0005000838400000014,-3.0,2.9900423626191284,-5.990042362619128
0.0005001657600000027,-3.0,2.980236310339892,-5.980236310339892
0.0005003296000000053,-3.0,2.960672325649943,-5.960672325649943
0.0005006572800000104,-3.0,2.92173604992319,-5.92173604992319
0.0005013126400000207,-3.0,2.8446240325625096,-5.84462403256251
0.0005026233600000414,-3.0,2.6933929366919473,-5.693392936691947
0.0005052448000000826,-3.0,2.4025202308393077,-5.402520230839308
0.0005104876800001652,-3.0,1.86424599810503,-4.86424599810503
0.0005209734400003303,-3.0,0.9409538730085099,-3.94095387300851
0.0005419449600006605,-3.0,-0.4254469608345479,-2.574553039165452
0.0005766823528993736,-3.0,-1.75296649300956,-1.24703350699044
0.0006109159625078144,-3.0,-2.389028628858852,-0.6109713711411482
0.0006624053099340026,-3.0,-2.8043517880097344,-0.1956482119902656
0.0007207227032612922,-3.0,-2.9484887458691036,-0.05151125413089641
0.0007807227032612923,-3.0,-2.9871221864431297,-0.01287781355687034
0.0008407227032612923,-3.0,-2.9967805466047452,-0.003219453395254757
0.0009007227032612924,-3.0,-2.9991951366496763,-0.0008048633503237035
0.0009607227032612924,-3.0,-2.999798784162041,-0.0002012158379591789
0.001,-3.0,-2.9999122730702177,-8.772692978231689e-05
0.0010000001,-2.399999999795396,-2.9999110726480733,0.5999110728526773
0.0010000003,-1.19999999938619,-2.999906271813389,1.799906272427199
0.0010000007,1.200000000131181,-2.9998822702592443,4.199882270390425
0.001000001,2.99999999944395,-2.999851669257469,5.999851668701419
0.00100000108,3.0,-2.9998420695101693,5.999842069510169
0.00100000124,3.0,-2.9998228700462866,5.999822870046287
0.00100000156,3.0,-2.9997844713028377,5.999784471302838
0.0010000022,3.0,-2.99970767455319,5.99970767455319
0.00100000348,3.0,-2.9995540840028507,5.999554084002851
0.00100000604,3.0,-2.999246914697621,5.999246914697621
0.001000011159999999,3.0,-2.9986326232659497,5.99863262326595
0.001000021399999998,3.0,-2.997404229093611,5.997404229093611
0.001000041879999996,3.0,-2.9949481953197763,5.994948195319776
0.001000082839999992,3.0,-2.990039144510747,5.990039144510747
0.001000164759999985,3.0,-2.9802330975008067,5.980233097500807
0.00100032859999997,3.0,-2.9606691233235853,5.960669123323585
0.001000656279999939,3.0,-2.9217328685192614,5.921732868519261
0.001001311639999878,3.0,-2.8446208925946834,5.844620892594683
0.001002622359999757,3.0,-2.6933898779877534,5.693389877987753
0.001005243799999514,3.0,-2.4025173284335706,5.402517328433571
0.001010486679999028,3.0,-1.8642433849327888,4.864243384932789
0.001020972439998056,3.0,-0.9409517559382481,3.940951755938248
0.001041943959996113,3.0,0.4254483437553418,2.574551656244658
0.001076681352894825,3.0,1.752967162853414,1.247032837146586
0.001110914962503524,3.0,2.3890289570456003,0.6109710429543997
0.001162404327296035,3.0,2.8043519855718757,0.1956480144281243
0.001220721730179306,3.0,2.948488812802709,0.05151118719729109
0.001280721730179306,3.0,2.987122203176531,0.01287779682346901
0.001340721730179306,3.0,2.996780550788096,0.003219449211904202
0.001400721730179306,3.0,2.9991951376955144,0.0008048623044856207
0.001460721730179306,3.0,2.999798784423502,0.0002012155764981038
0.001500001,3.0,2.9999122772774762,8.772272252377533e-05
0.0015000011,2.400000000445918,2.9999110768553257,-0.5999110764094078
0.0015000013,1.200000000036711,2.999906276020625,-1.799906275983914
0.0015000017,-1.200000000781703,2.999882274466442,-4.199882275248145
0.001500002,-3.0,2.9998516734646383,-5.999851673464638
0.00150000208,-3.0,2.9998420737173284,-5.999842073717328
0.00150000224,-3.0,2.9998228742534288,-5.999822874253429
0.00150000256,-3.0,2.9997844755099443,-5.999784475509944
0.0015000032,-3.0,2.9997076787602266,-5.999707678760227
0.00150000448,-3.0,2.999554088209745,-5.999554088209745
0.001500007040000001,-3.0,2.999246918904232,-5.999246918904232
0.001500012160000001,-3.0,2.9986326274719977,-5.998632627471998
0.001500022400000003,-3.0,2.9974042332985302,-5.99740423329853
0.001500042880000005,-3.0,2.994948199522441,-5.994948199522441
0.00150008384000001,-3.0,2.9900391487089077,-5.990039148708908
0.00150016576000002,-3.0,2.9802331016899712,-5.980233101689971
0.001500329600000041,-3.0,2.9606691274948096,-5.96066912749481
0.001500657280000081,-3.0,2.9217328726548217,-5.921732872654822
0.001501312640000163,-3.0,2.84462089665978,-5.84462089665978
0.001502623360000326,-3.0,2.6933898819152944,-5.693389881915294
